scenario,LPI_final,CI_low,CI_high,time,LPI_final_true,CI_low_true,CI_high_true,overlap,residual_error_sd,residual_error_mean,dtbar,dtbar_variance,lpi_nocorrection,lpi_correction,lpi_variance,lpi_bias,CI_width_diff,CI_width_reldiff,percentile_LPIcorrected,percentile_LPInotcorrected,direction,N0,lambda,interaction,Observation_error,Process_error,Lag
scenario1A,1,1,1,1,1,1,1,NA,0.01637736147202683,0.0017517874316570815,NA,NA,1,1,NA,0,NA,NA,NA,NA,decline,1000,1.5,0,0.05,0,0
scenario1A,0.933598193335862,0.9228224512962606,0.9429971685175534,2,0.9416217648286892,0.9416217648286892,0.9416217648286892,0.03172472084722793,0.02081940158762262,-0.009036821461792266,-0.04115455958711755,9.458344349059456e-4,0.9095895043060203,0.9100196648434211,7.825390199728679e-4,-4.301605374008588e-4,0.0894829664881084,0.09833080530573471,0,0,decline,1000,1.5,0,0.05,0,0
scenario1A,0.8723562337352362,0.8620214415170361,0.8826200352969047,3,0.8873830382060311,0.8873830382060311,0.8873830382060311,0.13408609697585153,0.018422232327096607,0.0029831697568840966,-0.017384718925062225,9.45834434236115e-4,0.8738979518358624,0.8747655935536774,8.730632004563162e-4,-8.676417178150597e-4,0.0952281663556542,0.10886135332414718,0.673,0.612,decline,1000,1.5,0,0.05,0,0
scenario1A,0.8157103839916616,0.8043651831267734,0.8258952850580901,4,0.8363502181167037,0.8363502181167037,0.8363502181167037,0.12826574525481466,0.03160145749908773,-0.003403919600929206,-0.03388564382823373,9.458344350168915e-4,0.8083046508423893,0.8095445896932288,8.091775659790174e-4,-0.001239938850839506,0.08997840065866511,0.11114693594921285,0.149,0.104,decline,1000,1.5,0,0.05,0,0
scenario1A,0.762466785260855,0.7502343750232199,0.7735668641384871,5,0.786514602809341,0.786514602809341,0.786514602809341,0.02054718105338926,0.028602717817125346,0.007478571436718951,-0.018885442272791247,9.45834434480984e-4,0.7739085334179602,0.7755485016232926,8.670501876135347e-4,-0.0016399682053324094,0.09209471739578295,0.11874785033175933,0.992,0.978,decline,1000,1.5,0,0.05,0,0
scenario1A,0.7118824764244811,0.7004485616617561,0.7231500682207063,6,0.7363461688226245,0.7363461688226245,0.7363461688226245,0.1541775101949869,0.02840458590561093,-0.002297412821751843,-0.03752542626802884,9.458344355438414e-4,0.7098461139264812,0.7117840994144284,7.957273198768818e-4,-0.0019379854879472136,0.08787635871324664,0.12345928882865027,0.488,0.372,decline,1000,1.5,0,0.05,0,0
scenario1A,0.6637905534877738,0.6523298729953569,0.6756414744466012,7,0.6855525185683428,0.6855525185683428,0.6855525185683428,0.10043750145341304,0.02628759389150921,0.0016008187997819888,-0.02781127869604462,9.458344352727789e-4,0.6658140117163454,0.6680753649459676,8.321326528898393e-4,-0.002261353229622287,0.08976750005458853,0.13436732555143494,0.777,0.643,decline,1000,1.5,0,0.05,0,0
scenario1A,0.6177656489536405,0.6055037372309205,0.6295882039528928,8,0.6345249835054321,0.6345249835054321,0.6345249835054321,0.132899141202876,0.03555117946159349,0.001665264584559656,-0.03233003873257182,9.458344358861938e-4,0.6180489766812729,0.6205870924648854,8.149951875138468e-4,-0.0025381157836125157,0.08782416587360889,0.14151787386486486,0.695,0.534,decline,1000,1.5,0,0.05,0,0
scenario1A,0.5729190523559193,0.5617152045913428,0.5842382869364586,9,0.5837780902991898,0.5837780902991898,0.5837780902991898,0.07150858813138562,0.038976657817049315,0.002600483713868407,-0.03278117965442992,9.458344362661344e-4,0.5731149165257895,0.5759070381740092,8.133037272310053e-4,-0.0027921216482197364,0.08926936102259363,0.1550065463787943,0.715,0.523,decline,1000,1.5,0,0.05,0,0
scenario1A,0.528910145408856,0.517263331107239,0.5396466465398101,10,0.5342065531602131,0.5342065531602131,0.5342065531602131,0.13213573394553169,0.028478176471652482,0.013791197098867614,-0.030238575223937938,9.458344363501782e-4,0.534568220449567,0.5376136585740672,8.228827749135674e-4,-0.0030454381245001994,0.09006554348752573,0.16752837665324563,0.935,0.853,decline,1000,1.5,0,0.05,0,0
